=== Chunked Prefill Log Wed Dec 10 01:53:32 AM UTC 2025 ===
=== Chunked Prefill Logs for meta-llama/Llama-3.1-8B at Wed Dec 10 02:42:39 AM UTC 2025 ===
[2025-12-10 01:54:31] Running chunked_prefill: req=e519c524075c42879a1daa918b98e021, extend_input_len=4096, rem_tokens=4096
[2025-12-10 01:54:35] Running chunked_prefill: req=2eb27e9d977c48d5a73a45ce7e68744e, extend_input_len=4096, rem_tokens=4095
[2025-12-10 01:54:35] Running chunked_prefill: req=2eb27e9d977c48d5a73a45ce7e68744e, extend_input_len=1, rem_tokens=4095
[2025-12-10 01:54:35] Running chunked_prefill: req=5bb1b06679444aa6b1394482847026b8, extend_input_len=4095, rem_tokens=4094
[2025-12-10 01:54:36] Running chunked_prefill: req=5bb1b06679444aa6b1394482847026b8, extend_input_len=1, rem_tokens=4094
[2025-12-10 01:54:36] Running chunked_prefill: req=65d6691d40244de5866ef14ec341ab7a, extend_input_len=4098, rem_tokens=4093
[2025-12-10 01:54:36] Running chunked_prefill: req=65d6691d40244de5866ef14ec341ab7a, extend_input_len=5, rem_tokens=4093
[2025-12-10 01:54:36] Running chunked_prefill: req=0117769036ae4c2f9b7a099b922bfde6, extend_input_len=4099, rem_tokens=4092
[2025-12-10 01:54:36] Running chunked_prefill: req=0117769036ae4c2f9b7a099b922bfde6, extend_input_len=7, rem_tokens=4092
[2025-12-10 01:54:37] Running chunked_prefill: req=9823ba2d14a94631ae84e19099210629, extend_input_len=4100, rem_tokens=4091
[2025-12-10 01:54:37] Running chunked_prefill: req=9823ba2d14a94631ae84e19099210629, extend_input_len=9, rem_tokens=4091
[2025-12-10 01:54:37] Running chunked_prefill: req=a54c8b4cd9834cdb91f4f1a8a1da2174, extend_input_len=4101, rem_tokens=4090
[2025-12-10 01:54:37] Running chunked_prefill: req=a54c8b4cd9834cdb91f4f1a8a1da2174, extend_input_len=11, rem_tokens=4090
[2025-12-10 01:54:37] Running chunked_prefill: req=fb316b40384046889fa26fa126647726, extend_input_len=4101, rem_tokens=4089
[2025-12-10 01:54:38] Running chunked_prefill: req=fb316b40384046889fa26fa126647726, extend_input_len=12, rem_tokens=4089
[2025-12-10 01:54:38] Running chunked_prefill: req=01881d3cf2064023b469fea1230c71ca, extend_input_len=4093, rem_tokens=4088
[2025-12-10 01:54:38] Running chunked_prefill: req=01881d3cf2064023b469fea1230c71ca, extend_input_len=5, rem_tokens=4088
[2025-12-10 01:54:38] Running chunked_prefill: req=75ce679fa9794e9ba85778e533f03169, extend_input_len=4104, rem_tokens=4087
[2025-12-10 01:54:38] Running chunked_prefill: req=75ce679fa9794e9ba85778e533f03169, extend_input_len=17, rem_tokens=4087
[2025-12-10 01:54:39] Running chunked_prefill: req=9b0f915edc0f44a9977e55a6a1ca0797, extend_input_len=4105, rem_tokens=4086
[2025-12-10 01:54:39] Running chunked_prefill: req=9b0f915edc0f44a9977e55a6a1ca0797, extend_input_len=19, rem_tokens=4086
[2025-12-10 01:54:39] Running chunked_prefill: req=167a882626af4c96a9a040950f420b9d, extend_input_len=4106, rem_tokens=4085
[2025-12-10 01:54:39] Running chunked_prefill: req=167a882626af4c96a9a040950f420b9d, extend_input_len=21, rem_tokens=4085
[2025-12-10 01:54:39] Running chunked_prefill: req=c5eb3776cccf45d4834021190f6fae26, extend_input_len=4107, rem_tokens=4084
[2025-12-10 01:54:40] Running chunked_prefill: req=c5eb3776cccf45d4834021190f6fae26, extend_input_len=23, rem_tokens=4084
[2025-12-10 01:54:40] Running chunked_prefill: req=3886bc2afee8404fb4b6acb5ac0403b6, extend_input_len=4107, rem_tokens=4083
[2025-12-10 01:54:40] Running chunked_prefill: req=3886bc2afee8404fb4b6acb5ac0403b6, extend_input_len=24, rem_tokens=4083
[2025-12-10 01:54:40] Running chunked_prefill: req=85c42f84cf8f42e1804f990c9e097353, extend_input_len=4109, rem_tokens=4082
[2025-12-10 01:54:40] Running chunked_prefill: req=85c42f84cf8f42e1804f990c9e097353, extend_input_len=27, rem_tokens=4082
[2025-12-10 01:54:41] Running chunked_prefill: req=41efc6ad075d48c8b73d16931140e9e1, extend_input_len=4110, rem_tokens=4081
[2025-12-10 01:54:41] Running chunked_prefill: req=41efc6ad075d48c8b73d16931140e9e1, extend_input_len=29, rem_tokens=4081
[2025-12-10 01:54:41] Running chunked_prefill: req=2fe431cef5e249e7872c1e36452c4a0b, extend_input_len=4111, rem_tokens=4080
[2025-12-10 01:54:41] Running chunked_prefill: req=2fe431cef5e249e7872c1e36452c4a0b, extend_input_len=31, rem_tokens=4080
[2025-12-10 01:54:41] Running chunked_prefill: req=0e6dafa41dc849e780b9486133ad0a1e, extend_input_len=4111, rem_tokens=4079
[2025-12-10 01:54:42] Running chunked_prefill: req=0e6dafa41dc849e780b9486133ad0a1e, extend_input_len=32, rem_tokens=4079
